Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
ElevenLabs,elevenlabs.io,ElevenLabs focuses on artificial intelligence in the domain of voice generation technology. It specializes in creating text-to-speech software that allows users to generate voiceovers in multiple languages and voices. The company's technology is utilized to make content more accessible and enjoyable for diverse audiences. It was founded in 2022 and is based in New York.,Horizontal applications,Incubator/Accelerator,23/02/2024,101,"Concept Ventures, Credo Ventures, Andreessen Horowitz, Daniel Gross, Nat Friedman, Brendan Iribe, Creator Ventures, Mike Krieger, Mustafa Suleyman, SV Angel, Tim O’Reilly, BroadLight Capital, Sequoia Capital, Smash Capital, Disney Accelerator",1100,,,,,912,04/10/2023,United States,Voice synthesis & cloning, ,x, , 
Replit,replit.com,"Replit is an AI-powered software development and deployment platform that enables building, sharing, and shipping software quickly. The company offers a cloud-based workspace where users can create and deploy a variety of applications in any programming language without the need for setup, downloads, or additional tools, and includes built-in AI capabilities for coding assistance. Replit's platform is designed for collaborative work, allowing developers to code together in real-time, manage cloud services, and deploy projects directly to production. Replit was formerly known as Neoreason, Inc. It was founded in 2016 and is based in San Francisco, California.",Horizontal applications,Series B - III,06/11/2023,227.61,"Abstract Ventures, Y Combinator, Andreessen Horowitz, Bloomberg Beta, Paul Graham, Reach Capital, A.Capital, Paul Buchheit, Adam D'Angelo, Addition, Ankur Nagpal, Anthony Pompliano, Austen Allred, Coatue, David Lee, Domagoj Babic, Fadi Ghandour, Fahd Ananta, Fifth Down Capital, Gagan Biyani, Henrique Dubugras, Mansour bin Ahmed bin Ali Al Thani, Packy McCormick, Peter Thiel, Scott Schleifer, Shaan Puri, Soleio, Vlad Tenev, Volt Capital, WeFunder, Ark Ventures, Coatue Corp., Hamilton Helmer, Khosla Ventures, Naval Ravikant, SV Angel, Craft Ventures",1046.08,20,,,,780,04/10/2023,United States,Code completion, , ,x, 
Perplexity,perplexity.ai,"Perplexity provides an answer engine within the information technology sector. Its main service is to fulfill users' curiosity by delivering answers that are backed by sources, effectively serving as a starting point for knowledge seekers. It was founded in 2022 and is based in San Francisco, California.",Horizontal applications,Series B - III,15/10/2024,172.15,"AIX Ventures, Amjad Masad, Clem Delangue, Davidovs Venture Collective, Oriol Vinyals, Yann LeCun, Bob Muglia, Databricks Ventures, Elad Gil, Nat Friedman, New Enterprise Associates, Paul Buchheit, AI Grant, Austen Allred, Balaji Srinivasan, Bessemer Venture Partners, Bezos Expeditions, Factorial Funds, Guillermo Rauch, Institutional Venture Partners, Kindred Ventures, NVentures, Naval Ravikant, Tobias Lutke, Andrej Karpathy, Brad Gerstner, Daniel Gross, Dylan Field, Garry Tan, Jakob Uszkoreit, Lip-Bu Tan, Stanley Druckenmiller, Tobi Lutke, SK Telecom, Wayra",1040,,,,,932,04/10/2023,United States,General search, , , , 
Adept,adept.ai,"Adept is a machine learning research and product lab focused on developing general intelligence within the technology sector. The company specializes in creating artificial intelligence models that understand and execute tasks on a computer based on natural language commands. Adept's technology is designed to facilitate collaboration between humans and computers, enhancing productivity and enabling informed decisions. It was founded in 2022 and is based in San Francisco, California.",Horizontal applications,Series B,14/03/2023,415,"Metaplanet, Addition, Andrej Karpathy, Chris Re, Greylock Partners, Howie Liu, Root Ventures, Sarah Meyohas, Scott Belsky, A.Capital, Atlassian Ventures, Caterina Fake, Frontiers Capital, General Catalyst, Microsoft, NVIDIA, PSP Growth, SV Angel, Spark Capital, Workday Ventures, Yes VC",1000,350,,,,787,04/10/2023,United States,AI agents,x, , , 
Globality,globality.com,"Globality is a company that focuses on autonomous procurement in the sourcing technology sector. The company offers a platform that uses advanced artificial intelligence to create detailed project requirements, identify suitable suppliers, provide negotiation insights, and enable data-driven decisions. The company primarily serves the procurement and sourcing sectors of the economy. It was founded in 2015 and is based in Menlo Park, California.",Industrials,Series E,19/01/2021,310.3,"Al Gore, Bob Lee, David Rosenblatt, Hanan Gilutz, Jeff Sine, Jim Johnson, John Emerson, John Joyce, Ken Goldman, Michael Marks, Ron Johnson, Shaj Deljo, Sheryl Sandberg, Yechiam Yemini, Dennis Nally, John Danilovich, Raine, THK Private Equity, SoftBank, Sienna Investment Managers",1000,138.3,,,,560,04/10/2023,United States,Procurement,x, , , 
Character.AI,character.ai,"Character.AI focuses on developing advanced artificial intelligence, operating within the domain of virtual communication and AI technology. The company offers super-intelligent chatbots that are designed to engage in interactive conversations, providing a personalized and responsive virtual chatting experience. These chatbots are capable of understanding and remembering user interactions, enhancing the overall engagement. It was founded in 2021 and is based in Menlo Park, California.",Horizontal applications,Series A,03/03/2023,190,"A.Capital, Andreessen Horowitz, Elad Gil, Greycroft, Nat Friedman, SV Angel",1000,190,,,,927,04/10/2023,United States,AI companions,x, , , 
Synthesia,synthesia.io,"Synthesia is an AI Video Communications Platform that specializes in video content creation using artificial intelligence. The company offers a platform that enables users to create professional videos with AI avatars and voiceovers in multiple languages, without the need for traditional filming equipment. Synthesia primarily serves sectors such as e-learning, sales, marketing, customer service, and business operations. It was founded in 2017 and is based in London, England.",Horizontal applications,Series C,13/06/2023,155.69,"Government of UK, LDV Capital, MMC Ventures, Mark Cuban, Nigel Morris, Seedcamp, Taavet Hinrikus, VAS Ventures, tiny.vc, Startup Autobahn, Christian Bach, FirstMark Capital, Michael Buckley, Google Ventures, Kleiner Perkins, NVIDIA Inception Program, Accel, Alex Wang, Amjad Masad, NVIDIA, Olivier Pomel",1000,90,,,,823,04/10/2023,United Kingdom,Enterprise AI avatars, , , ,x
Stability AI,stability.ai,"Stability AI focuses on developing generative artificial intelligence across various domains including imagery, video, audio, and language. The company offers a suite of AI models that enable the creation of photorealistic images, videos, audio, and 3D objects, as well as language processing capabilities. Stability AI provides flexible licensing options for the commercial use of their AI models and platforms. It was founded in 2019 and is based in London, United Kingdom.",Generative AI infrastructure,Series A,25/06/2024,231,"Air Street Capital, OSS Capital, Samsung NEXT, Coatue, Lightspeed Venture Partners, O'Shaughnessy Ventures, Sound Ventures, Firestreak, Intel, Eric Schmidt, Greycroft, Prem Akkaraju, Robert Nelsen, Sean Parker",1000,80,,,,860,04/10/2023,United Kingdom,Model developer; Images & NFTs, , , ,x
Typeface,typeface.ai,"Typeface is a generative AI platform specializing in personalized content creation for the enterprise sector. The company offers a suite of tools that streamline the content creation process, enabling businesses to produce on-brand content at an accelerated pace. Typeface primarily serves sectors that require robust content marketing strategies, such as email marketing, advertising, SEO, and eCommerce. Typeface was formerly known as Cortex6. It was founded in 2022 and is based in San Francisco, California.",Horizontal applications,Series B,29/06/2023,205,"Google Ventures, Lightspeed Venture Partners, M12, Menlo Ventures, Madrona Venture Group, Salesforce Ventures",1000,140,,,,854,04/10/2023,United States,Social media & marketing content,x, , , 
Snorkel AI,snorkel.ai,"Snorkel AI specializes in data-centric artificial intelligence solutions for the enterprise domain. The company offers an AI data development platform that enables development of AI applications by programmatically labeling and curating data, fine-tuning large language models, and building specialized AI models. It primarily serves sectors such as banking, healthcare, government, insurance, and telecom with its AI technology. The company was founded in 2019 and is based in Redwood City, California.",Generative AI infrastructure,Incubator/Accelerator,19/04/2024,135,"Stanford University, Accel, Greylock Partners, Google Ventures, In-Q-Tel, BlackRock, Lightspeed Venture Partners, Nepenthe Capital, Walden International, Addition, Walden Capital Management, QBE Ventures, Google Cloud Next",1000,,Spinoff / Spinout,01/01/2019,Stanford University,849,04/10/2023,United States,LLMOps, , , , 
Imbue,imbue.com,"Imbue specializes in the development of artificial intelligence  (AI) systems with a focus on collaborative agents that assist in coding and reasoning tasks. The company offers AI solutions that enable computers to understand and execute code, facilitating the translation of human ideas into functional software. Imbue's research efforts are directed towards self-supervised learning, particularly in simulated environments and computer vision, to advance general machine intelligence. Imbue was formerly known as Generally Intelligent. It was founded in 2018 and is based in San Francisco, California.",Generative AI infrastructure,Series B - II,19/10/2023,232,"Y Combinator, South Park Commons, Arash Ferdowsi, Astera Institute, Drew Houston, Jonas Schneider, Tom Brown, Kyle Vogt, NVIDIA, Simon Last, Amazon Alexa Fund, Eric Schmidt",1000,12,,,,720,16/10/2023,United States,AI research institute,x, , , 
01.AI,01.ai,"01.AI provides open-source AI models and applications that support human productivity. Its offerings include open-source and proprietary language models capable of processing text in multiple languages, with a particular emphasis on English and Chinese. 01.AI primarily serves the technology and platform development sectors with a vision of integrating AI. The company was founded in 2023 and is based in Haidian, China.",Generative AI infrastructure,Unattributed,07/08/2024,,"Sinovation Ventures, Alibaba Cloud",1000,,,,,368,26/10/2023,China,Model developer,x, , , 
Krutrim,olakrutrim.com,"Krutrim is an AI company that develops a large language model and conversational AI technology. The company offers a voice-enabled conversational AI assistant that can understand and speak multiple Indian languages. It also develops AI-optimized chips. Krutrim primarily serves developers and enterprises with its AI solutions and APIs. It was founded in 2023 and is based in Bengaluru, India.",Generative AI infrastructure,Series A,26/01/2024,74,Z47,1000,50,,,,870,21/02/2024,India,Model developer,,,,
World Labs,worldlabs.ai,"World Labs focuses on advancing artificial intelligence with an emphasis on human-like visual data processing and reasoning within the tech industry. The company develops models that enable AI to understand and interact with the three-dimensional physical world. It caters its services to robotics, augmented reality, and virtual reality. World Labs' technology is designed to extrapolate images and text into three-dimensional environments. It was founded in 2024 and is based in Stanford, California.",,Series A - II,13/09/2024,330,"Andreessen Horowitz, Radical Ventures, New Enterprise Associates, AMD Ventures, Ashton Kutcher, Eric Schmidt, Geoffrey Hinton, Intel Capital, Jeff Dean, Marc Benioff, NVentures, Reid Hoffman",1000,230,,,,723,02/10/2024,United States,,,,,
